p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
32977,Noir,54.83$,Crepe Abaya With elastic colar and front zipper,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Crepe-Abaya-With-elastic-colar-and-front-zipper_1.webp,https://abayanoir.com/product/crepe-abaya-with-elastic-colar-and-front-zipper/?v=3d9975706be3
33005,Noir,43.18$,Crepe Abaya with purple linens and pockets,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Crepe-Abaya-with-purple-linens-and-pockets_1.webp,https://abayanoir.com/product/crepe-abaya-with-purple-linens-and-pockets/?v=3d9975706be3
33038,Noir,45.30$,Crepe Abaya with several layers,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Crepe-Abaya-with-several-layers_1.webp,https://abayanoir.com/product/crepe-abaya-with-several-layers/?v=3d9975706be3
33709,Noir,42.13$,Crepe Abaya With touch of satin,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Crepe-Abaya-With-touch-of-satin_2-scaled.webp,https://abayanoir.com/product/crepe-abaya-with-touch-of-satin/?v=3d9975706be3
33741,Noir,44.24$,crepe Croisee Abaya with sleeves details,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/crepe-Croisee-Abaya-with-sleeves-details_3-scaled.webp,https://abayanoir.com/product/crepe-croisee-abaya-with-sleeves-details/?v=3d9975706be3
34234,Noir,27.10$,Cut dress with diamod shape details at front,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Cut-dress-with-diamod-shape-details-at-front_1.webp,https://abayanoir.com/product/cut-dress-with-diamod-shape-details-at-front/?v=3d9975706be3
34261,Noir,35.56$,Diagonal Layers Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Diagonal-Layers-Abaya_1.webp,https://abayanoir.com/product/diagonal-layers-abaya/?v=3d9975706be3
36503,Noir,30.91$,Fly Vest Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/Fly-Vest-Abaya-1.jpg,https://abayanoir.com/product/fly-vest-abaya/?v=3d9975706be3
32723,Noir,54.83$,Foulard Zipper Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Foulard-Zipper-Abaya_1.webp,https://abayanoir.com/product/foulard-zipper-abaya/?v=3d9975706be3
33066,Noir,75.36$,Fronce Abaya made with crepe,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Fronce-Abaya-made-with-crepe_1.webp,https://abayanoir.com/product/fronce-abaya-made-with-crepe/?v=3d9975706be3
33712,Noir,42.13$,Front Bottons crepe Abaya with cotton sleeves and shoulder detail,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Front-Bottons-crepe-Abaya-with-cotton-sleeves-and-shoulder-detail_1-scaled.webp,https://abayanoir.com/product/front-bottons-crepe-abaya-with-cotton-sleeves-and-shoulder-detail/?v=3d9975706be3
33037,Noir,43.18$,Jump Suit Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Jump-Suit-Abaya_1.webp,https://abayanoir.com/product/jump-suit-abaya/?v=3d9975706be3
32946,Noir,42.13$,Metal Zipper Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Metal-Zipper-Abaya_1.webp,https://abayanoir.com/product/metal-zipper-abaya/?v=3d9975706be3
34593,Noir,35.14$,Offwhite Abaya Code,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Offwhite-Abaya-Code_1.webp,https://abayanoir.com/product/offwhite-abaya-code/?v=3d9975706be3
32947,Noir,54.83$,Papillion Abaya with touch of satin,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Papillion-Abaya-with-touch-of-satin_1.webp,https://abayanoir.com/product/papillion-abaya-with-touch-of-satin/?v=3d9975706be3
33068,Noir,48.48$,Poncho Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Poncho-Abaya_1.webp,https://abayanoir.com/product/poncho-abaya/?v=3d9975706be3
33951,Noir,46.36$,Raglan Abaya With bottons,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Raglan-Abaya-With-bottons_1.webp,https://abayanoir.com/product/raglan-abaya-with-bottons/?v=3d9975706be3
33065,Noir,46.36$,Spanish Cut Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Spanish-Cut-Abaya_1.webp,https://abayanoir.com/product/spanish-cut-abaya/?v=3d9975706be3
33460,Noir,52.71$,Spanish Cut Abaya With Zipper,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Spanish-Cut-Abaya-With-Zipper_1.webp,https://abayanoir.com/product/spanish-cut-abaya-with-zipper/?v=3d9975706be3
33492,Noir,46.36$,Sport Abaya with touch of Black or Blue Cotton,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Sport-Abaya-with-touch-of-Black-Cotton_1.webp,https://abayanoir.com/product/sport-abaya-with-touch-of-black-cotton/?v=3d9975706be3
33461,Noir,58.00$,Tie Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Tie-Abaya_1.webp,https://abayanoir.com/product/tie-abaya/?v=3d9975706be3
33125,Noir,73.88$,Tulip Abaya with Closh cut and Zipper – Black scarf included,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Tulip-Abaya-with-Closh-cut-and-Zipper-–-Black-scarf-included.webp,https://abayanoir.com/product/tulip-abaya-with-closh-cut-and-zipper-black-scarf-included/?v=3d9975706be3
36516,Noir,61.18$,Tulip Abaya with Leather Belt – Black Fine Chiffon Tulip Scarf Included,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/Tulip-Abaya-With-Leather-Belt-–-Black-Fine-Chiffon-Tulip-Scarf-Included-1.jpg,https://abayanoir.com/product/tulip-abaya-with-leather-belt-black-fine-chiffon-tulip-scarf-included/?v=3d9975706be3
32776,Noir,63.29$,Tulip Abaya With satin stripes – Black Chiffon Scarf included,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Tulip-Abaya-With-satin-stripes-–-Black-Chiffon-Scarf-included.webp,https://abayanoir.com/product/tulip-abaya-with-satin-stripes-black-chiffon-scarf-included/?v=3d9975706be3
34700,Noir,59.06$,Tulip Crepe Abaya with Belt,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Tulip-Crepe-Abaya-with-Belt_2.webp,https://abayanoir.com/product/tulip-crepe-abaya-with-belt/?v=3d9975706be3
